date,fiscal_year,customer_code,market,product_code,product,variant,sold_quantity,gross_price_total,pre_invoice_discount_pct,net_invoice_sales,post_invoice_discount_pct,net_sales
2017-09-01,2018,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,785.16,0.0824,720.462816,0.3379,477.0184304736
2017-09-01,2018,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,785.16,0.0777,724.153068,0.3379,479.4617463228
2017-09-01,2018,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,785.16,0.0735,727.450740,0.3379,481.6451349540
2017-09-01,2018,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,785.16,0.0703,729.963252,0.3379,483.3086691492
2017-09-01,2018,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,785.16,0.1057,702.168588,0.3379,464.9058221148
2017-09-01,2019,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,736.40,0.0824,675.720640,0.3379,447.3946357440
2017-09-01,2019,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,736.40,0.0777,679.181720,0.3379,449.6862168120
2017-09-01,2019,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,736.40,0.0735,682.274600,0.3379,451.7340126600
2017-09-01,2019,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,736.40,0.0703,684.631080,0.3379,453.2942380680
2017-09-01,2019,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,736.40,0.1057,658.562520,0.3379,436.0342444920
2017-09-01,2020,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,827.85,0.0824,759.635160,0.3379,502.9544394360
2017-09-01,2020,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,827.85,0.0777,763.526055,0.3379,505.5306010155
2017-09-01,2020,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,827.85,0.0735,767.003025,0.3379,507.8327028525
2017-09-01,2020,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,827.85,0.0703,769.652145,0.3379,509.5866852045
2017-09-01,2020,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,827.85,0.1057,740.346255,0.3379,490.1832554355
2017-09-01,2021,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,971.92,0.0824,891.833792,0.3379,590.4831536832
2017-09-01,2021,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,971.92,0.0777,896.401816,0.3379,593.5076423736
2017-09-01,2021,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,971.92,0.0735,900.483880,0.3379,596.2103769480
2017-09-01,2021,70002017,India,A0118150101,"AQ Dracula HDD – 3.5 Inch SATA 6 Gb/s 5400 RPM 256 MB Cache",Standard,51,971.92,0.0703,903.594024,0.3379,598.2696032904
